,DATE,AWND,PRCP,TAVG,TMAX,TMIN
3624,2016-06-01,3.8,0.0,24.4,28.3,18.3
3625,2016-06-02,4.7,0.0,20.5,23.3,16.7
3626,2016-06-03,3.1,0.5,19.1,22.2,17.2
3627,2016-06-04,2.9,6.9,22.7,28.3,18.9
3628,2016-06-05,3.8,17.0,20.7,23.3,19.4
3629,2016-06-06,5.1,0.0,23.9,30.6,20.0
3630,2016-06-07,5.1,0.3,26.3,30.6,18.9
3631,2016-06-08,7.2,11.2,18.3,21.1,12.8
3632,2016-06-09,8.3,0.0,17.6,23.3,13.3
3633,2016-06-10,5.5,0.0,19.9,25.6,15.0
3634,2016-06-11,3.5,2.5,23.7,32.2,17.8
3635,2016-06-12,8.9,0.0,26.8,30.0,17.2
3636,2016-06-13,7.8,0.0,18.9,23.3,15.0
3637,2016-06-14,5.0,0.0,20.6,27.2,15.6
3638,2016-06-15,3.1,0.0,24.1,30.6,18.9
3639,2016-06-16,1.7,3.0,22.9,25.0,20.0
3640,2016-06-17,3.8,0.0,21.8,26.7,18.9
3641,2016-06-18,2.7,0.0,22.8,30.0,17.2
3642,2016-06-19,3.9,0.0,23.9,28.9,20.0
3643,2016-06-20,3.8,0.0,23.0,28.3,18.9
3644,2016-06-21,4.9,0.0,27.1,31.7,22.8
3645,2016-06-22,4.4,0.0,25.5,30.0,19.4
3646,2016-06-23,3.4,0.0,23.5,27.2,20.0
3647,2016-06-24,4.7,0.0,23.7,29.4,20.0
3648,2016-06-25,4.3,0.0,22.9,28.3,18.3
3649,2016-06-26,3.8,0.0,24.3,30.0,21.1
3650,2016-06-27,5.1,7.1,24.3,28.9,20.6
3651,2016-06-28,4.3,8.4,22.6,25.6,21.1
3652,2016-06-29,3.1,0.0,24.3,30.6,21.1
3653,2016-06-30,3.4,0.0,25.3,30.6,21.1
3654,2016-07-01,3.9,7.1,24.9,27.2,21.1
3655,2016-07-02,6.4,0.0,22.7,25.6,20.0
3656,2016-07-03,3.6,0.0,24.1,27.8,20.6
3657,2016-07-04,3.8,13.0,24.8,30.0,20.6
3658,2016-07-05,3.2,14.5,24.4,31.7,20.6
3659,2016-07-06,2.7,0.0,29.9,35.6,25.0
3660,2016-07-07,3.2,0.5,29.5,33.9,23.9
3661,2016-07-08,4.1,0.3,26.0,30.0,20.6
3662,2016-07-09,4.3,10.4,21.3,23.3,18.9
3663,2016-07-10,4.4,0.0,22.8,27.2,19.4
3664,2016-07-11,3.7,0.0,23.6,28.3,20.6
3665,2016-07-12,4.6,0.0,24.8,28.9,21.7
3666,2016-07-13,4.4,0.0,25.6,30.0,22.8
3667,2016-07-14,3.7,12.7,26.9,32.8,23.9
3668,2016-07-15,3.8,0.0,30.3,33.3,27.8
3669,2016-07-16,3.6,0.0,28.9,33.3,25.0
3670,2016-07-17,2.7,0.0,28.4,33.9,25.0
3671,2016-07-18,4.5,3.0,30.2,36.1,25.6
3672,2016-07-19,5.6,0.0,26.8,29.4,24.4
3673,2016-07-20,3.8,0.0,25.5,29.4,21.7
3674,2016-07-21,4.7,0.0,27.2,32.8,23.9
3675,2016-07-22,5.7,0.0,29.5,36.7,24.4
3676,2016-07-23,5.1,0.0,31.9,37.2,27.8
3677,2016-07-24,3.9,0.0,29.6,34.4,24.4
3678,2016-07-25,4.1,20.1,29.1,34.4,25.0
3679,2016-07-26,4.5,0.0,27.6,34.4,23.9
3680,2016-07-27,3.2,0.0,29.2,34.4,25.0
3681,2016-07-28,3.0,0.0,29.3,34.4,25.6
3682,2016-07-29,4.5,25.9,25.6,29.4,21.7
3683,2016-07-30,3.6,4.6,25.8,28.9,23.9
3684,2016-07-31,5.0,14.5,25.4,28.3,22.2
3685,2016-08-01,4.7,0.0,23.4,26.7,21.7
3686,2016-08-02,5.3,0.0,23.4,25.6,21.7
3687,2016-08-03,3.8,0.0,23.4,27.8,20.0
3688,2016-08-04,3.3,0.0,24.2,28.9,21.1
3689,2016-08-05,4.3,0.0,25.2,30.0,22.2
3690,2016-08-06,4.6,0.0,27.1,32.8,23.9
3691,2016-08-07,4.8,0.0,27.5,31.7,23.3
3692,2016-08-08,3.4,0.0,27.1,30.6,23.9
3693,2016-08-09,3.9,0.0,27.1,31.7,23.9
3694,2016-08-10,4.3,1.5,27.5,31.7,24.4
3695,2016-08-11,3.6,8.9,30.4,36.1,25.6
3696,2016-08-12,4.0,7.1,30.3,36.7,24.4
3697,2016-08-13,4.2,0.0,31.8,36.7,28.9
3698,2016-08-14,4.1,0.3,32.6,36.7,27.2
3699,2016-08-15,3.0,0.0,29.2,33.9,25.6
3700,2016-08-16,5.2,3.3,29.4,32.8,25.6
3701,2016-08-17,5.3,0.0,28.2,30.0,26.1
3702,2016-08-18,2.5,0.5,26.8,31.1,23.9
3703,2016-08-19,3.3,0.5,27.6,31.7,25.0
3704,2016-08-20,3.7,3.0,26.1,29.4,23.9
3705,2016-08-21,5.6,3.3,27.1,31.7,24.4
3706,2016-08-22,7.6,0.0,24.4,26.1,21.1
3707,2016-08-23,3.0,0.0,23.5,28.9,19.4
3708,2016-08-24,3.5,0.0,25.9,31.7,21.7
3709,2016-08-25,5.1,0.3,25.9,30.0,22.8
3710,2016-08-26,4.7,0.0,28.7,32.8,25.0
3711,2016-08-27,3.9,0.0,28.0,31.7,24.4
3712,2016-08-28,3.6,0.0,27.1,31.7,23.3
3713,2016-08-29,4.5,0.0,27.8,32.8,25.0
3714,2016-08-30,4.5,0.0,26.1,30.0,22.2
3715,2016-08-31,4.2,0.0,26.9,32.2,24.4
3716,2016-09-01,2.6,8.6,24.9,26.7,22.8
3717,2016-09-02,4.8,0.0,23.9,28.3,20.0
3718,2016-09-03,5.5,0.0,23.1,24.4,20.6
3719,2016-09-04,5.1,0.0,22.3,27.2,18.9
3720,2016-09-05,6.2,0.0,23.2,28.9,19.4
3721,2016-09-06,7.5,0.3,25.4,27.8,22.2
3722,2016-09-07,5.0,0.0,25.1,30.0,22.2
3723,2016-09-08,3.5,0.0,26.1,31.1,22.8
3724,2016-09-09,3.5,1.3,30.3,33.9,25.0
3725,2016-09-10,4.1,0.0,27.9,32.8,24.4
3726,2016-09-11,6.0,0.0,27.0,28.9,21.1
3727,2016-09-12,3.7,0.0,21.8,25.6,17.8
3728,2016-09-13,4.6,0.0,22.9,27.8,20.0
3729,2016-09-14,4.0,9.4,25.6,33.3,21.1
3730,2016-09-15,4.7,0.0,21.3,23.9,17.2
3731,2016-09-16,3.3,0.0,20.3,23.9,17.8
3732,2016-09-17,3.6,0.0,20.7,25.6,17.8
3733,2016-09-18,4.3,0.0,24.6,29.4,22.2
3734,2016-09-19,2.7,19.8,24.0,25.0,22.2
3735,2016-09-20,2.6,0.0,24.1,28.9,21.7
3736,2016-09-21,2.4,0.0,25.3,29.4,22.8
3737,2016-09-22,2.9,0.0,24.9,30.0,21.1
3738,2016-09-23,2.6,6.1,25.1,31.7,18.9
3739,2016-09-24,4.6,5.1,20.3,22.2,15.0
3740,2016-09-25,3.3,0.0,17.9,21.7,14.4
3741,2016-09-26,4.6,0.0,18.7,22.8,13.9
3742,2016-09-27,3.4,3.8,21.4,24.4,18.9
3743,2016-09-28,7.4,0.0,19.8,21.7,15.6
3744,2016-09-29,9.5,0.0,17.3,19.4,15.6
3745,2016-09-30,10.5,9.9,16.7,17.8,14.4
3746,2016-10-01,6.5,0.0,15.8,17.8,14.4
3747,2016-10-02,2.9,0.0,15.9,18.3,14.4
3748,2016-10-03,2.3,0.0,19.1,22.8,16.7
3749,2016-10-04,6.0,0.0,19.2,21.7,16.7
3750,2016-10-05,4.1,0.0,16.7,20.6,12.8
3751,2016-10-06,2.1,0.0,18.2,23.9,15.0
3752,2016-10-07,3.0,0.0,18.8,25.0,15.6
3753,2016-10-08,2.6,3.6,18.3,20.6,16.1
3754,2016-10-09,6.7,12.2,16.3,19.4,12.2
3755,2016-10-10,5.7,0.0,13.9,18.3,10.0
3756,2016-10-11,3.2,0.0,13.4,17.8,9.4
3757,2016-10-12,2.2,0.0,16.0,20.6,13.3
3758,2016-10-13,4.0,0.0,16.9,21.1,13.3
3759,2016-10-14,4.1,0.0,14.1,17.8,10.0
3760,2016-10-15,2.8,0.0,14.1,18.9,9.4
3761,2016-10-16,4.1,0.0,16.8,23.3,12.8
3762,2016-10-17,2.6,0.0,22.3,28.3,18.9
3763,2016-10-18,4.3,0.0,23.7,27.8,20.0
3764,2016-10-19,4.0,0.0,25.1,30.0,20.0
3765,2016-10-20,4.7,0.0,20.2,22.8,17.2
3766,2016-10-21,3.4,46.0,20.8,21.7,16.1
3767,2016-10-22,8.5,7.9,13.2,16.7,9.4
3768,2016-10-23,7.4,0.0,12.4,17.8,8.9
3769,2016-10-24,6.4,0.0,14.9,17.8,10.0
3770,2016-10-25,7.3,0.0,10.5,12.8,7.8
3771,2016-10-26,5.5,0.0,8.4,11.1,5.0
3772,2016-10-27,4.7,33.5,7.6,14.4,5.6
3773,2016-10-28,8.3,0.0,10.3,12.2,6.7
3774,2016-10-29,4.1,0.0,10.6,18.9,6.7
3775,2016-10-30,3.7,19.3,19.8,25.6,13.9
3776,2016-10-31,4.8,0.0,11.7,13.9,8.3
3777,2016-11-01,3.3,0.0,10.4,16.1,6.7
3778,2016-11-02,3.3,0.0,16.2,22.2,13.3
3779,2016-11-03,4.9,0.0,19.3,23.9,15.0
3780,2016-11-04,6.0,0.0,15.1,16.7,10.6
3781,2016-11-05,5.0,0.0,12.7,17.8,8.9
3782,2016-11-06,6.5,0.0,14.3,15.6,8.3
3783,2016-11-07,4.3,0.0,9.4,14.4,6.1
3784,2016-11-08,1.7,0.0,13.4,21.1,8.3
3785,2016-11-09,3.7,0.5,15.2,17.2,10.6
3786,2016-11-10,5.0,0.0,10.6,14.4,6.7
3787,2016-11-11,8.1,0.0,13.3,17.2,6.7
3788,2016-11-12,5.1,0.0,7.4,11.1,4.4
3789,2016-11-13,4.2,0.0,11.1,17.8,6.1
3790,2016-11-14,2.6,0.0,13.7,17.8,10.0
3791,2016-11-15,5.3,40.9,11.9,14.4,9.4
3792,2016-11-16,4.5,0.0,12.2,17.8,8.9
3793,2016-11-17,5.1,0.0,13.8,17.2,11.1
3794,2016-11-18,2.8,0.0,12.7,19.4,8.9
3795,2016-11-19,3.7,4.6,12.8,16.7,5.6
3796,2016-11-20,10.0,8.6,6.8,6.7,2.8
3797,2016-11-21,10.2,0.0,4.8,6.1,3.9
3798,2016-11-22,10.2,0.0,4.9,6.7,3.9
3799,2016-11-23,5.1,0.0,5.0,7.8,2.8
3800,2016-11-24,3.6,0.5,6.8,10.0,5.0
3801,2016-11-25,1.9,0.3,10.1,13.3,8.3
3802,2016-11-26,5.1,0.0,10.0,11.1,6.7
3803,2016-11-27,6.2,0.0,7.8,10.6,6.1
3804,2016-11-28,3.7,0.0,8.2,11.7,5.6
3805,2016-11-29,5.2,56.6,13.0,16.7,11.1
3806,2016-11-30,4.6,24.4,14.0,16.1,11.1
3807,2016-12-01,6.8,1.3,12.1,13.9,7.2
3808,2016-12-02,7.2,0.0,8.5,11.7,6.1
3809,2016-12-03,8.4,0.0,8.0,10.0,6.1
3810,2016-12-04,4.8,0.0,6.8,8.9,5.0
3811,2016-12-05,4.5,4.6,6.9,10.6,4.4
3812,2016-12-06,4.7,8.9,7.4,8.3,5.0
3813,2016-12-07,3.2,1.5,6.5,8.3,5.0
3814,2016-12-08,5.1,0.0,7.0,7.2,2.2
3815,2016-12-09,8.5,0.0,3.1,5.6,0.0
3816,2016-12-10,5.8,0.0,0.8,2.8,-0.5
3817,2016-12-11,3.0,0.8,0.6,2.2,-1.0
3818,2016-12-12,4.9,13.5,4.7,8.9,1.7
3819,2016-12-13,3.8,0.0,5.6,7.2,3.9
3820,2016-12-14,5.3,0.0,5.4,6.7,2.2
3821,2016-12-15,10.2,0.0,-0.7,2.2,-6.0
3822,2016-12-16,5.4,0.0,-5.2,-1.6,-7.1
3823,2016-12-17,2.6,17.8,-0.7,4.4,-3.2
3824,2016-12-18,5.8,1.3,8.2,16.1,0.6
3825,2016-12-19,5.1,0.0,-0.7,0.6,-3.8
3826,2016-12-20,3.0,0.0,-2.6,2.2,-4.9
3827,2016-12-21,3.1,0.0,2.4,5.6,0.6
3828,2016-12-22,5.3,0.0,6.1,10.0,2.8
3829,2016-12-23,4.5,0.0,6.4,8.9,5.0
3830,2016-12-24,4.6,13.2,6.6,9.4,4.4
3831,2016-12-25,4.7,0.0,7.5,10.6,3.3
3832,2016-12-26,4.8,0.0,3.8,11.1,1.1
3833,2016-12-27,6.9,0.0,13.3,16.7,5.6
3834,2016-12-28,5.9,0.0,5.5,5.6,1.7
3835,2016-12-29,4.8,12.2,4.3,8.9,1.1
3836,2016-12-30,7.6,0.0,4.3,5.6,1.7
3837,2016-12-31,6.2,0.0,3.2,7.2,1.1
3838,2017-01-01,4.5,0.0,8.0,9.4,3.9
3839,2017-01-02,5.4,4.6,4.4,5.6,3.3
3840,2017-01-03,7.2,11.4,5.6,8.3,4.4
3841,2017-01-04,7.2,0.0,8.2,12.2,2.2
3842,2017-01-05,6.6,0.0,1.0,2.2,-2.1
3843,2017-01-06,4.2,1.0,0.1,1.7,-2.1
3844,2017-01-07,6.2,7.1,-3.7,-2.1,-5.5
3845,2017-01-08,8.4,0.0,-5.2,-2.7,-7.1
3846,2017-01-09,4.3,0.0,-6.3,-4.3,-8.2
3847,2017-01-10,3.3,0.0,-2.4,8.3,-4.9
3848,2017-01-11,4.5,13.2,8.1,12.2,6.7
3849,2017-01-12,5.1,1.3,12.7,20.0,8.9
3850,2017-01-13,7.2,0.0,12.1,17.2,1.1
3851,2017-01-14,3.2,2.5,0.1,1.1,-1.6
3852,2017-01-15,4.0,0.0,1.8,5.0,0.6
3853,2017-01-16,2.6,0.0,2.7,6.7,-0.5
3854,2017-01-17,3.4,9.4,5.4,6.1,3.9
3855,2017-01-18,4.7,2.8,5.1,7.2,3.9
3856,2017-01-19,3.4,0.0,6.7,10.0,5.0
3857,2017-01-20,3.0,1.8,6.2,7.8,5.0
3858,2017-01-21,3.0,0.0,7.7,10.6,5.0
3859,2017-01-22,4.7,0.8,7.8,10.0,6.1
3860,2017-01-23,12.5,21.6,6.4,7.2,3.3
3861,2017-01-24,8.2,25.4,3.9,5.0,3.3
3862,2017-01-25,6.1,0.0,5.8,11.7,3.9
3863,2017-01-26,5.7,0.5,10.0,13.9,7.2
3864,2017-01-27,7.6,0.0,6.5,7.2,3.3
3865,2017-01-28,7.0,0.0,3.7,4.4,2.2
3866,2017-01-29,5.1,0.0,4.4,7.2,2.8
3867,2017-01-30,5.6,0.0,2.8,3.3,0.0
3868,2017-01-31,3.4,1.5,-0.6,1.7,-2.1
3869,2017-02-01,6.3,0.0,5.1,9.4,1.1
3870,2017-02-02,6.0,0.0,5.3,7.8,1.1
3871,2017-02-03,6.1,0.0,0.3,1.7,-2.1
3872,2017-02-04,6.8,0.0,-1.4,2.2,-4.3
3873,2017-02-05,5.3,0.0,2.5,7.2,0.6
3874,2017-02-06,5.5,0.0,6.2,10.0,3.3
3875,2017-02-07,5.0,5.8,4.4,6.1,3.3
3876,2017-02-08,3.4,0.5,8.2,16.7,3.9
3877,2017-02-09,9.6,22.1,2.3,6.7,-7.1
3878,2017-02-10,6.8,0.0,-4.2,1.1,-7.1
3879,2017-02-11,2.2,0.0,3.1,9.4,-0.5
3880,2017-02-12,5.1,10.7,2.2,4.4,0.0
3881,2017-02-13,11.9,0.3,3.4,5.6,0.6
3882,2017-02-14,4.4,0.0,1.4,5.6,-0.5
3883,2017-02-15,4.7,0.0,4.9,10.0,2.2
3884,2017-02-16,9.8,0.0,2.3,3.3,-0.5
3885,2017-02-17,6.8,0.0,1.3,6.7,-1.6
3886,2017-02-18,4.1,0.0,7.9,18.3,2.2
3887,2017-02-19,4.5,0.0,15.8,18.9,11.7
3888,2017-02-20,5.5,0.0,10.8,12.8,4.4
3889,2017-02-21,4.0,0.0,5.6,8.3,2.2
3890,2017-02-22,3.0,0.0,9.0,15.0,6.7
3891,2017-02-23,2.8,0.0,10.7,18.3,5.6
3892,2017-02-24,4.5,0.0,15.3,21.1,9.4
3893,2017-02-25,5.3,8.1,13.9,18.3,8.3
3894,2017-02-26,8.0,0.0,6.9,8.3,3.9
3895,2017-02-27,4.2,0.0,6.6,12.2,2.8
3896,2017-02-28,3.6,0.0,9.9,14.4,6.7
3897,2017-03-01,4.3,3.0,14.2,21.7,11.7
3898,2017-03-02,10.8,0.0,12.8,18.9,3.3
3899,2017-03-03,8.2,0.0,2.8,5.6,-2.7
3900,2017-03-04,9.5,0.0,-2.3,0.0,-7.1
3901,2017-03-05,5.6,0.0,-3.9,3.3,-8.2
3902,2017-03-06,3.7,0.0,1.3,7.2,-2.1
3903,2017-03-07,3.8,2.5,8.1,11.7,6.1
3904,2017-03-08,5.8,1.5,12.1,16.7,9.4
3905,2017-03-09,7.7,0.0,14.7,18.3,9.4
3906,2017-03-10,7.8,6.1,5.6,9.4,-2.7
3907,2017-03-11,8.5,0.0,-3.2,-0.5,-6.6
3908,2017-03-12,7.7,0.0,-3.0,0.0,-5.5
3909,2017-03-13,4.2,0.0,-2.0,2.8,-4.9
3910,2017-03-14,11.2,26.2,0.1,1.1,-4.3
3911,2017-03-15,8.8,0.0,-3.3,-1.0,-4.9
3912,2017-03-16,7.8,0.0,-0.1,5.0,-2.7
3913,2017-03-17,5.1,0.0,3.8,9.4,0.0
3914,2017-03-18,5.9,1.8,3.4,5.0,1.1
3915,2017-03-19,5.5,0.0,4.7,8.9,2.2
3916,2017-03-20,5.0,0.0,6.7,12.2,2.8
3917,2017-03-21,3.4,0.0,10.3,16.7,7.2
3918,2017-03-22,10.0,0.0,6.1,10.6,-3.2
3919,2017-03-23,4.3,0.0,0.0,7.2,-3.2
3920,2017-03-24,5.0,0.0,6.7,14.4,3.3
3921,2017-03-25,3.9,0.0,12.3,13.9,6.7
3922,2017-03-26,6.4,3.0,5.7,6.7,3.9
3923,2017-03-27,3.8,5.1,5.7,10.0,3.9
3924,2017-03-28,4.9,16.5,6.4,7.2,5.6
3925,2017-03-29,5.7,0.0,9.5,15.0,6.7
3926,2017-03-30,3.7,0.0,7.7,11.7,5.0
3927,2017-03-31,7.2,53.3,6.1,7.8,4.4
3928,2017-04-01,7.3,0.3,5.7,8.9,3.9
3929,2017-04-02,4.9,0.0,10.3,17.2,6.1
3930,2017-04-03,4.1,0.8,13.6,17.2,8.9
3931,2017-04-04,5.1,40.6,10.1,12.2,7.2
3932,2017-04-05,3.5,0.0,10.9,17.2,7.2
3933,2017-04-06,6.5,21.6,7.8,12.2,6.1
3934,2017-04-07,7.5,0.0,10.1,11.7,6.1
3935,2017-04-08,7.6,0.0,8.6,14.4,5.6
3936,2017-04-09,4.1,0.0,12.4,20.0,7.8
3937,2017-04-10,4.0,0.0,16.3,22.8,11.1
3938,2017-04-11,3.6,0.0,19.7,25.6,13.9
3939,2017-04-12,2.4,0.8,17.7,25.0,12.2
3940,2017-04-13,5.4,0.0,14.7,18.9,10.0
3941,2017-04-14,3.5,0.0,14.0,18.9,10.0
3942,2017-04-15,4.4,0.0,14.0,17.2,11.1
3943,2017-04-16,5.7,0.0,21.6,31.1,15.6
3944,2017-04-17,6.2,0.0,21.6,22.8,15.0
3945,2017-04-18,5.1,0.0,15.1,18.3,9.4
3946,2017-04-19,4.9,0.0,10.0,12.2,7.8
3947,2017-04-20,3.9,6.1,12.4,18.9,9.4
3948,2017-04-21,6.0,6.9,11.3,12.2,8.9
3949,2017-04-22,3.0,1.8,11.0,13.3,9.4
